part.code,bin1_cong,bin2_cong,bin3_cong,bin4_cong,bin5_cong,bin1_incong,bin2_incong,bin3_incong,bin4_incong,bin5_incong
1,511.0666666666667,818.5999999999999,1002.2666666666668,1486.4,2347.0000000000005,599.9130434782609,1004.2173913043478,1326.1956521739128,1732.5652173913043,2350.804347826087
2,536.4285714285713,651.5714285714286,752.5714285714286,865.4999999999998,1274.5,549.8039215686275,664.2352941176471,721.2941176470588,887.4117647058823,1425.686274509804
3,540.7704918032786,661.9016393442622,813.622950819672,1143.4754098360659,1704.1639344262294,522.0806451612904,641.1290322580645,780.6612903225805,1008.0322580645162,1591.3225806451612
4,526.3275862068966,699.6724137931035,885.2586206896552,1194.3275862068967,1804.4999999999998,544.0158730158729,798.5873015873016,1106.5555555555554,1411.15873015873,2005.7936507936506
6,406.56896551724145,522.7068965517242,601.344827586207,701.0689655172415,1215.9827586206898,475.0655737704918,541.5081967213114,632.4262295081966,900.8360655737704,1212.2131147540981
7,475.9166666666667,648.0833333333333,841.8333333333333,1127.8333333333335,1613.333333333333,480.1343283582089,687.1194029850744,944.6716417910446,1246.4925373134326,1603.8208955223877
8,404.7213114754098,661.9672131147541,833.2786885245902,1141.5245901639344,1830.3934426229507,447.83928571428567,651.0178571428572,901.7321428571429,1486.9464285714287,2132.910714285714
9,481.79999999999995,678.4,1010.5,1548.6000000000004,2377.0000000000005,591.1803278688525,879.1475409836066,1403.1967213114756,1957.6557377049182,2772.098360655737
10,371.83606557377044,421.5081967213115,510.70491803278685,628.6721311475409,999.3278688524591,451.17741935483866,535.8225806451613,619.8870967741935,757.5322580645162,1129.532258064516
11,433.66666666666663,537.5833333333333,591.75,704.4166666666667,1033.1666666666665,451.58333333333337,511.1666666666666,567.5833333333334,624.4166666666665,856.5833333333333
12,484.83582089552243,559.9999999999998,648.9402985074626,772.7164179104476,1054.328358208955,438.00000000000006,543.5849056603773,639.6981132075472,817.7924528301886,1223.3773584905662
13,509.03225806451616,608.6451612903224,738.5000000000001,1028.3225806451612,1500.58064516129,556.8301886792453,652.9622641509434,767.6415094339623,1001.8490566037736,1652.5094339622642
14,408.0128205128206,564.8717948717948,711.8717948717948,943.4999999999999,1365.333333333333,404.1904761904762,581.6904761904761,737.7857142857141,1016.0952380952378,1498.3333333333333
15,443.311475409836,539.9344262295082,605.2786885245902,685.6065573770492,950.9508196721312,448.4262295081966,515.9180327868852,579.9016393442622,649.9016393442623,831.9999999999998
16,560.2537313432834,699.1940298507462,790.7164179104477,918.8805970149253,1182.8955223880598,587.7037037037037,692.7407407407408,872.0555555555555,1046.5185185185182,1311.9999999999998
17,585.090909090909,833.5681818181819,1028.9545454545457,1405.7954545454545,1976.8181818181818,519.4545454545455,673.2727272727273,883.2727272727273,1279.909090909091,2056.818181818182
18,453.7704918032786,559.9344262295082,669.3114754098361,788.7213114754098,1184.901639344262,481.3870967741936,592.2741935483871,667.0322580645162,818.3709677419355,1128.516129032258
19,410.83333333333337,479.41666666666663,527.5000000000001,603.0833333333333,908.5833333333334,406.1269841269841,476.6507936507937,550.5555555555554,630,787.4603174603174
20,431.0508474576272,528.1525423728814,626.101694915254,819.2033898305086,1059.7288135593221,478.86885245901647,553.9016393442623,642.6229508196722,764.9344262295081,1203.606557377049
21,449.4339622641509,573.3396226415094,700.1886792452831,899.9811320754717,1568.566037735849,508.2727272727272,609.1818181818182,751.7272727272726,927.4545454545455,1468.2727272727273
22,430.2380952380952,672.8095238095237,966.9365079365076,1441.7301587301583,2530.5873015873017,399.7727272727273,644,938.7954545454545,1303.909090909091,2011.7045454545455
23,494.4354838709677,591.8225806451612,797.1451612903224,1162.806451612903,1760.3225806451612,531.1960784313726,672.2156862745098,896.0392156862746,1278.8235294117649,1879.2745098039215
24,591.7118644067796,736.2881355932203,871.9322033898304,1100.4745762711864,1471.6271186440677,588.0983606557377,667.1803278688525,802.7213114754097,1098.950819672131,1650.9999999999998
